date    cnt
1032	510
1033	2050
1034	388
1035	2550
1036	2899
1037	1640
1038	1531
1039	2309
1040	154
1041	2563
1042	2251
1043	1819
1044	1471
1045	1998
1046	399
1047	2130
1048	2918
1049	1983
1050	2149
1051	2669
1052	41
1053	3724
1054	3311
1055	1801
1056	2318
1057	693
1058	2615
1059	2726
1060	2094
1061	2225
1062	1476
1063	765
1064	2691
1065	1966
1066	2752
1067	1620
1068	1516
1069	757
1070	2070
1071	2603
1072	1796
1073	1669
1074	2068
1075	389
1076	2309
1077	1916
1078	2190
1079	1796
1080	1939
1081	539
1082	2809
1083	1985
1084	2824
1085	35
1086	50
1087	2324
1088	1900
1089	1854
1090	1832
1091	1309
1092	1578
1093	524
1094	15
1095	1956
1096	1805
1097	2287
1098	1057
1099	1499
1100	591
1101	2120
1102	2545
1103	2107
1104	1568
1105	1321
1106	631
1107	2034
1108	2409
1109	2008
1110	1118
1111	1958
1112	614
1113	2076
1114	1936
1115	1804
1116	1514
1117	1939
1118	545
1119	2041
1120	2619
1121	2418
1122	1643
1123	1848
1124	798
1125	2312
1126	2555
1127	1954
1128	1663
1129	2019
1130	511
1131	2770
1132	2175
1133	1697
1134	1532
1135	2045
1136	601
1137	2898
1138	2255
1139	2637
1140	1675
1141	2360
1142	585
1143	3134
1144	2296
1145	1489
1146	2542
1147	1817
1148	691
1149	24
1150	2637
1151	2834
1152	1908
1153	1841
1154	2643
1155	772
1156	2453
1157	2602
1158	1754
1159	1579
1160	1913
1161	857
1162	15
1163	2325
1164	2851
1165	1922
1166	1727
1167	1555
1168	678
1169	2886
1170	3450
1171	2893
1172	21
1173	28
1174	3371
1175	2536
1176	4636
1177	3747
1178	1030
1179	872
1180	250
1181	654
1182	512
1183	338
1184	124
1185	233
1186	205
1187	289
1188	355
1189	6436
1190	3507
1191	3933
1192	4161
1193	5025
1194	2323
1195	2964
1196	1221
1197	21
1198	3895
1199	4260
1200	3246
1201	2155
1202	2326
1203	652
1204	54
1205	2981
1206	2918
1207	2779
1208	1776
1209	2638
1210	853
1211	2475
1212	3687
1213	2507
1214	1739
1215	2045
1216	936
1217	40
1218	2340
1219	2886
1220	2402
1221	1907
1222	2759
1223	685
1224	40
1225	2562
1226	2422
1227	2876
1228	2177
1229	2250
1230	182
1231	2996
1232	2681
1233	2263
1234	2017
1235	2566
1236	428
1237	15
1238	3422
1239	3314
1240	2723
1241	1696
1242	2526
1243	878
1244	15
1245	3043
1246	5294
1247	3399
1248	2758
1249	2627
1250	1031
1251	3007
1252	3357
1253	2527
1254	2601
1255	3821
1256	556
1257	3637
1258	3739
1259	2787
1260	2710
1261	2621
1262	993
1263	3161
1264	2669
1265	3521
1266	1946
1267	1168
1268	29
1269	44
1270	230
1271	7389
1272	4861
1273	3659
1274	4170
1275	1793
1276	25
1277	3136
1278	3440
1279	3265
1280	1850
1281	2047
1282	682
1283	2141
1284	2475
1285	2695
1286	1495
1287	2341
1288	371
1289	1438
1290	3799
1291	3600
1292	2710
1293	660
1294	40
1295	2517
1296	4163
1297	96
1298	3605
1299	2784
1300	2493
1301	1835
1302	1680
1303	780
1304	1413
1305	2363
1306	1691
1307	1433
