userid,orderType
100000000371,0.9931189935494628
100000001215,0.9977971919249363
100000001445,0.9898009062201787
100000001575,0.0005579498800412086
100000001601,0.9983138783264438
100000001737,0.0004603501366121643
100000001829,0.9939703857730979
100000002055,0.9954137172736031
100000002241,0.9977190411503413
100000003067,0.997859913399476
100000004161,0.0007635910778995836
100000004307,0.9981203687569803
100000004855,0.0010691130638231794
100000005055,0.9983012141774276
100000005701,0.9988790992624414
100000006247,0.9981627293903449
100000006327,0.9762191750142547
100000006333,0.9954260987525524
100000006397,0.9963956802492206
100000007397,0.18765895096614926
100000007525,0.2821651681026516
100000007951,0.9879356308859039
100000007955,0.9610473878004717
100000008131,0.9989573076912535
100000008427,0.9885001104351229
100000008745,0.9983564746428778
100000009049,0.9802906400784829
100000009197,0.8355016179014676
100000009419,0.975527715106752
100000009629,0.9979121780006146
100000009961,0.0009391574033246197
100000010157,0.009289796735741263
100000011403,0.999057546075468
100000012993,0.952988011569187
100000013089,0.04512249029737048
100000013205,0.9875553283903148
100000013455,0.9952254914294039
100000013591,0.9455582388960514
100000013861,0.9989996516803916
100000014191,0.9132569265085274
100000014963,0.9882213413625022
100000015053,0.9975973097045667
100000015077,0.0017977842817206158
100000015351,0.09311991016080834
100000015659,0.0008608593666009634
100000016411,0.9979023103267892
100000016637,0.9990997668429457
100000016665,0.9987098156605143
100000016715,0.8616368649475096
100000016843,0.9786879814884184
100000017191,0.9923517138085892
100000017255,0.9991372382868295
100000017517,0.992747520076539
100000017533,0.9906665697476819
100000018131,0.011801168237776216
100000018141,0.9430144627317004
100000018219,0.9954699475547177
100000018439,0.9695765956581817
100000018651,0.9972481917714319
100000018843,0.8022486648197116
100000019085,0.9814876154422818
100000019503,0.9977612523055733
100000019777,0.997827968958896
100000019831,0.9706366154413475
100000019875,0.31278331726465336
100000020599,0.9154640182716053
100000020705,0.7127989648479187
100000020839,0.9653920560212578
100000021007,0.9954654386055763
100000021741,0.9918869784464793
100000023031,0.9537542937411407
100000023341,0.9968554975980689
100000023847,0.9995207557507509
110020671228,0.017859273852265156
110100014968,0.9628769828220292
110100016420,0.9543348785811544
110100016422,0.9996229702947571
110100018261,0.8243405645355006
110100035666,0.98183740733256
110100073025,0.9231056184084249
110100073927,0.0006780178510309431
110100116029,0.9993730005234976
110100133766,0.9984291793320357
110100171523,0.9673916877972465
110100173226,0.7118462134081454
110100218469,0.9308223633361894
110100235669,0.9986637945540701
110100316927,0.998565726980489
110100335267,0.9992238790625882
110100371520,0.983158061783233
110100373224,0.9995624469608881
110100412425,0.9988627537130575
110100418260,0.9983217397638634
110100418567,0.018010763395782448
110100471522,0.9993704578554133
110100471527,0.9965549654852052
110100473324,0.9772765968059902
110100512827,0.9932690604260773
110100514267,0.9975081271406464
110100516521,0.996992462117556
110100516723,0.9882678126825076
110100516929,0.00020393773863569553
110100535662,0.657743968726181
110100573222,0.08157747676602001
110100573627,0.9992960835555688
110100614362,0.938818166715021
110100614562,0.0005750545491643999
110100618862,0.9971224596249014
110100635761,0.9959887418710568
110100673622,0.7805700331476073
110100673828,0.9934352187456927
110100735369,0.26838751303648556
110100816922,0.9949208809222142
110100818367,0.6947501353118427
110100835466,0.9832893024651796
110100835868,0.9284088465633462
110100871522,0.41499227360254765
110100873722,0.8452416976261697
110100933760,0.06080380562129639
110100973525,0.9886161851801027
110101018063,0.9880555362820806
110101018362,0.9945075030431079
110101035263,0.9981235623958863
110101071220,0.9841847256523165
110101071222,0.9864688906163582
110101071527,0.9967507078083013
110101073025,0.995576331560348
110101073225,0.20061728597488382
110101073822,0.9993289169517892
110101112320,0.9782478642560853
110101114064,0.5029151122760375
110101114660,0.4262232903525779
110101118361,0.9984968055115917
110101135467,0.9970847746728364
110101173725,0.9823664012630845
110101210069,0.16402469425042265
110101212223,0.9967590887563537
110101215122,0.7938271811791923
110101216420,0.9936769169557892
110101216527,0.734843210905246
110101216821,0.998524942169151
110101217027,0.00018969376612554267
110101217820,0.9888033559083812
110101217824,0.009706399311806058
110101218861,0.000215904661741817
110101233064,0.5648260272106347
110101273629,0.9652400549869835
110101273724,0.9969846879739221
110101273826,0.9974645817890272
110101273925,0.9615003803997139
110101312122,0.38468658160993807
110101314164,0.9491614448565786
110101316227,0.9556569925546732
110101316624,0.011652765725720271
110101335164,0.9861577280839274
110101335961,0.9964438720832133
110101373120,0.9735704338820946
110101373626,0.9970192550924052
110101410927,0.005823691011306309
110101416523,0.028129871002879447
110101416629,0.7882083418713229
110101418269,0.2243532816764413
110101418763,0.9849348259106382
110101433762,0.9127600671258902
