1250	1	282
1250	2	140
1250	3	321
1250	4	541
1250	5	378
1250	6	310
1250	7	292
1250	8	506
1250	9	811
1250	10	255
1251	1	324
1251	2	163
1251	3	192
1251	4	363
1251	5	296
1251	6	253
1251	7	196
1251	8	422
1251	9	766
1251	10	293
1252	1	393
1252	2	207
1252	3	250
1252	4	388
1252	5	413
1252	6	331
1252	7	300
1252	8	392
1252	9	873
1252	10	385
1253	1	162
1253	2	0
1253	3	42
1253	4	101
1253	5	56
1253	6	57
1253	7	68
1253	8	193
1253	9	228
1253	10	0
1254	4	377
1255	1	402
1255	2	327
1255	3	274
1255	4	468
1255	5	463
1255	6	315
1255	7	283
1255	8	607
1255	9	802
1255	10	394
1256	1	316
1256	2	196
1256	3	405
1256	4	673
1256	5	492
1256	6	302
1256	7	309
1256	8	632
1256	9	904
1256	10	279
1257	1	254
1257	2	105
1257	3	247
1257	4	448
1257	5	353
1257	6	277
1257	7	302
1257	8	507
1257	9	847
1257	10	218
1258	1	311
1258	2	165
1258	3	181
1258	4	378
1258	5	229
1258	6	221
1258	7	154
1258	8	352
1258	9	631
1258	10	181
1259	1	346
1259	2	272
1259	3	283
1259	4	390
1259	5	329
1259	6	352
1259	7	261
1259	8	449
1259	9	878
1259	10	365
1260	1	150
1260	2	59
1260	3	118
1260	4	129
1260	5	93
1260	6	74
1260	7	74
1260	8	166
1260	9	230
1260	10	36
1261	1	398
1261	2	236
1261	3	384
1261	4	496
1261	5	500
1261	6	330
1261	7	281
1261	8	649
1261	9	1010
1261	10	403
1262	1	433
1262	2	290
1262	3	383
1262	4	682
1262	5	533
1262	6	347
1262	7	314
1262	8	643
1262	9	1124
1262	10	358
1263	1	345
1263	2	239
1263	3	335
1263	4	546
1263	5	382
1263	6	331
1263	7	375
1263	8	495
1263	9	1079
1263	10	274
1264	1	386
1264	2	154
1264	3	248
1264	4	343
1264	5	339
1264	6	276
1264	7	239
1264	8	402
1264	9	826
1264	10	219
1265	1	406
1265	2	284
1265	3	295
1265	4	439
1265	5	391
1265	6	360
1265	7	362
1265	8	442
1265	9	1216
1265	10	295
1266	1	146
1266	2	21
1266	3	31
1266	4	83
1266	5	54
1266	6	46
1266	7	77
1266	8	106
1266	9	360
1266	10	30
1267	6	0
1267	9	74
1268	1	398
1268	2	261
1268	3	390
1268	4	532
1268	5	617
1268	6	321
1268	7	288
1268	8	683
1268	9	1231
1268	10	417
1269	1	471
1269	2	350
1269	3	404
1269	4	590
1269	5	741
1269	6	410
1269	7	404
1269	8	759
1269	9	1209
1269	10	375
1270	1	365
1270	2	285
1270	3	357
1270	4	536
1270	5	491
1270	6	333
1270	7	333
1270	8	591
1270	9	1139
1270	10	381
1271	1	360
1271	2	154
1271	3	209
1271	4	322
1271	5	316
1271	6	254
1271	7	265
1271	8	405
1271	9	697
1271	10	261
1272	1	429
1272	2	211
1272	3	306
1272	4	346
1272	5	357
1272	6	344
1272	7	272
1272	8	429
1272	9	613
1272	10	392
1273	1	156
1273	2	0
1273	3	34
1273	4	57
1273	5	134
1273	6	71
1273	7	43
1273	8	135
1273	9	113
1273	10	79
1274	1	431
1274	2	167
1274	3	323
1274	4	488
1274	5	526
1274	6	285
1274	7	262
1274	8	599
1274	9	647
1274	10	376
1275	1	314
1275	2	267
1275	3	350
1275	4	686
1275	5	505
1275	6	337
1275	7	375
1275	8	726
1275	9	836
1275	10	268
1276	1	242
1276	2	197
1276	3	245
1276	4	485
1276	5	338
1276	6	282
1276	7	289
1276	8	515
1276	9	725
1276	10	231
1277	1	374
1277	2	171
1277	3	233
1277	4	362
1277	5	388
1277	6	301
1277	7	256
1277	8	450
1277	9	639
1277	10	302
1278	1	300
1278	2	275
1278	3	378
1278	4	436
1278	5	442
1278	6	404
1278	7	328
1278	8	504
1278	9	879
1278	10	363
1279	2	81
1279	3	112
1279	4	138
1279	5	103
1279	6	124
1279	7	79
1279	8	216
1279	9	394
1280	1	88
1281	1	417
1281	2	206
1281	3	257
1281	4	476
1281	5	531
1281	6	323
1281	7	292
1281	8	661
1281	9	707
1281	10	336
1282	1	332
1282	2	276
1282	3	325
1282	4	673
1282	5	552
1282	6	348
1282	7	321
1282	8	701
1282	9	936
1282	10	314
1283	1	316
1283	2	156
1283	3	261
1283	4	477
1283	5	326
1283	6	273
1283	7	292
1283	8	484
1283	9	770
1283	10	278
1284	1	308
1284	2	87
1284	3	208
1284	4	360
1284	5	259
1284	6	217
1284	7	229
1284	8	314
1284	9	552
1284	10	205
1285	1	380
1285	2	158
1285	3	271
1285	4	380
1285	5	349
1285	6	335
1285	7	267
1285	8	465
1285	9	873
1285	10	318
1286	1	116
1286	2	0
1286	4	76
1286	5	102
1286	6	60
1286	7	81
1286	8	169
1286	9	210
1286	10	25
1287	9	71
1288	1	392
1288	2	282
1288	3	316
1288	4	548
1288	5	559
1288	6	329
1288	7	237
1288	8	590
1288	9	728
1288	10	317
1289	1	390
1289	2	285
1289	3	474
1289	4	540
1289	5	629
1289	6	355
1289	7	394
1289	8	632
1289	9	760
1289	10	296
1290	1	348
1290	2	195
1290	3	328
1290	4	469
1290	5	397
1290	6	316
1290	7	313
1290	8	488
1290	9	839
1290	10	268
1291	1	300
1291	2	202
1291	3	222
1291	4	347
1291	5	245
1291	6	253
1291	7	284
1291	8	392
1291	9	632
1291	10	209
1292	1	449
1292	2	209
1292	3	264
1292	4	442
1292	5	389
1292	6	336
1292	7	323
1292	8	415
1292	9	843
1292	10	366
1293	3	89
1293	4	90
1293	5	102
