1308,2402
1309,1002
1310,976
1311,3345
1312,3435
1313,2584
1314,2168
1315,2405
1316,911
1317,3240
1318,3198
1319,2525
1320,2015
1321,2357
1322,797
1323,3171
1324,3000
1325,2481
1326,1895
1327,2245
1328,744
1329,3206
1330,3059
1331,2535
1332,2062
1333,2265
1334,630
1335,644
1336,3191
1337,3012
1338,2493
1339,1875
1340,2194
1341,614
1342,3190
1343,3069
1344,2470
1345,1854
1346,2199
1347,579
1348,532
1349,2427
1350,1752
1351,2051
1352,425
1353,469
1354,2829
1355,2826
1356,2207
1357,1756
1358,2077
1359,447
1360,446
1361,2668
1362,2818
1363,2180
1364,1753
1365,2063
1366,434
1367,435
1368,2573
1369,2757
1370,2192
1371,1806
1372,2098
1373,504
1374,558
1375,2742
1376,2955
1377,2345
1378,1998
1379,2181
1380,544
1381,552
1382,2794
1383,2968
1384,2332
1385,2016
1386,2139
1387,536
1388,2793
1389,2941
1390,2329
1391,2028
1392,2140
1393,536
1394,537
1395,2794
1396,2933
1397,2331
1398,2026
1399,2142
1400,626
1401,631
1402,2952
1403,2380
1404,1977
1405,2126
1406,635
1407,2727
1408,2922
1409,2339
1410,1931
1411,2102
1412,776
1413,741
1414,2892
1415,3063
1416,2086
1417,1487
1418,1768
1419,648
1420,642
1421,2360
1422,2361
1423,2102
1424,1555
1425,1754
1426,624
1427,627
1428,2382
1429,2378
1430,2101
1431,1540
1432,1771
1433,561
1434,601
1435,2371
1436,2417
1437,2062
1438,1530
1439,1740
1440,626
1441,620
1442,2392
1443,2450
1444,2066
1445,1567
1446,1826
1447,662
1448,672
1449,2450
1450,2483
1451,2034
1452,1588
1453,1860
1454,702
1455,714
1456,2462
1457,2433
1458,2084
1459,1659
1460,1911
1461,756
1462,702
1463,2538
1464,2515
1465,2142
1466,1823
1467,2038
1468,841
1469,913
1470,2574
1471,2598
1472,2255
1473,1826
1474,2041
1475,904
1476,925
1477,2649
1478,2673
1479,2306
1480,1863
1481,2010
1482,895
1483,904
1484,2634
1485,2677
1486,2315
1487,1828
1488,2002
1489,857
1490,837
1491,2628
1492,2659
1493,2264
1494,1776
1495,1955
1496,801
1497,2565
1498,2685
1499,2263
1500,1701
1501,1879
1502,758
1503,772
1504,2385
1505,2575
1506,2076
1507,1538
1508,1926
1509,1048
1510,1104
1511,2693
1512,2892
1513,2463
1514,1969
1515,2316
1516,1187
1517,2889
1518,3068
1519,2688
1520,2103
1521,2311
1522,1087
1523,2968
1524,2581
1525,2001
1526,2290
1527,982
1528,1048
1529,2701
1530,2776
1531,2506
1532,2076
1533,2290
1534,985
1535,904
1536,2678
1537,2794
1538,2506
1539,2170
1540,2370
1541,996
1542,735
1543,2852
1544,3009
1545,2671
1546,2176
1547,2436
1548,884
1549,618
1550,2895
1551,3046
1552,2671
1553,2125
1554,2405
1555,783
1556,541
1557,3024
1558,3198
1559,2867
1560,2426
1561,2707
1562,864
1563,704
1564,3096
1565,3275
1566,2876
1567,2428
1568,2730
1569,801
1570,671
1571,3047
1572,3270
1573,2857
1574,2400
1575,2625
1576,730
1577,581
1578,3044
1579,3248
