0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
1.0,1.0,1.0,2.0,1.0,2013.0,1.0,1.0,1.0,2.0,1.0,2013.0,1.0,1.0,2.0,1.0,2013.0,1.0,4.0,2.0,4026.0,2.0,1.0,2013.0,1.0,4052169.0,2013.0,1.0
1.0,1.0,6.0,2.0,1.0,2013.0,1.0,1.0,6.0,2.0,1.0,2013.0,1.0,36.0,12.0,6.0,12078.0,6.0,4.0,2.0,4026.0,2.0,1.0,2013.0,1.0,4052169.0,2013.0,1.0
1.0,1.0,9.0,2.0,1.0,2013.0,1.0,1.0,9.0,2.0,1.0,2013.0,1.0,81.0,18.0,9.0,18117.0,9.0,4.0,2.0,4026.0,2.0,1.0,2013.0,1.0,4052169.0,2013.0,1.0
1.0,2.0,4.0,3.0,1.0,2013.0,2.0,4.0,8.0,6.0,2.0,4026.0,4.0,16.0,12.0,4.0,8052.0,8.0,9.0,3.0,6039.0,6.0,1.0,2013.0,2.0,4052169.0,4026.0,4.0
1.0,2.0,6.0,3.0,1.0,2013.0,2.0,4.0,12.0,6.0,2.0,4026.0,4.0,36.0,18.0,6.0,12078.0,12.0,9.0,3.0,6039.0,6.0,1.0,2013.0,2.0,4052169.0,4026.0,4.0
1.0,2.0,7.0,3.0,1.0,2013.0,2.0,4.0,14.0,6.0,2.0,4026.0,4.0,49.0,21.0,7.0,14091.0,14.0,9.0,3.0,6039.0,6.0,1.0,2013.0,2.0,4052169.0,4026.0,4.0
1.0,2.0,10.0,3.0,1.0,2013.0,2.0,4.0,20.0,6.0,2.0,4026.0,4.0,100.0,30.0,10.0,20130.0,20.0,9.0,3.0,6039.0,6.0,1.0,2013.0,2.0,4052169.0,4026.0,4.0
1.0,3.0,4.0,4.0,1.0,2013.0,3.0,9.0,12.0,12.0,3.0,6039.0,9.0,16.0,16.0,4.0,8052.0,12.0,16.0,4.0,8052.0,12.0,1.0,2013.0,3.0,4052169.0,6039.0,9.0
1.0,3.0,6.0,4.0,1.0,2013.0,3.0,9.0,18.0,12.0,3.0,6039.0,9.0,36.0,24.0,6.0,12078.0,18.0,16.0,4.0,8052.0,12.0,1.0,2013.0,3.0,4052169.0,6039.0,9.0
1.0,3.0,8.0,4.0,1.0,2013.0,3.0,9.0,24.0,12.0,3.0,6039.0,9.0,64.0,32.0,8.0,16104.0,24.0,16.0,4.0,8052.0,12.0,1.0,2013.0,3.0,4052169.0,6039.0,9.0
1.0,4.0,1.0,5.0,1.0,2013.0,4.0,16.0,4.0,20.0,4.0,8052.0,16.0,1.0,5.0,1.0,2013.0,4.0,25.0,5.0,10065.0,20.0,1.0,2013.0,4.0,4052169.0,8052.0,16.0
1.0,4.0,2.0,5.0,1.0,2013.0,4.0,16.0,8.0,20.0,4.0,8052.0,16.0,4.0,10.0,2.0,4026.0,8.0,25.0,5.0,10065.0,20.0,1.0,2013.0,4.0,4052169.0,8052.0,16.0
1.0,4.0,3.0,5.0,1.0,2013.0,4.0,16.0,12.0,20.0,4.0,8052.0,16.0,9.0,15.0,3.0,6039.0,12.0,25.0,5.0,10065.0,20.0,1.0,2013.0,4.0,4052169.0,8052.0,16.0
1.0,4.0,4.0,5.0,1.0,2013.0,4.0,16.0,16.0,20.0,4.0,8052.0,16.0,16.0,20.0,4.0,8052.0,16.0,25.0,5.0,10065.0,20.0,1.0,2013.0,4.0,4052169.0,8052.0,16.0
1.0,4.0,6.0,5.0,1.0,2013.0,4.0,16.0,24.0,20.0,4.0,8052.0,16.0,36.0,30.0,6.0,12078.0,24.0,25.0,5.0,10065.0,20.0,1.0,2013.0,4.0,4052169.0,8052.0,16.0
1.0,4.0,7.0,5.0,1.0,2013.0,4.0,16.0,28.0,20.0,4.0,8052.0,16.0,49.0,35.0,7.0,14091.0,28.0,25.0,5.0,10065.0,20.0,1.0,2013.0,4.0,4052169.0,8052.0,16.0
1.0,4.0,8.0,5.0,1.0,2013.0,4.0,16.0,32.0,20.0,4.0,8052.0,16.0,64.0,40.0,8.0,16104.0,32.0,25.0,5.0,10065.0,20.0,1.0,2013.0,4.0,4052169.0,8052.0,16.0
1.0,4.0,9.0,5.0,1.0,2013.0,4.0,16.0,36.0,20.0,4.0,8052.0,16.0,81.0,45.0,9.0,18117.0,36.0,25.0,5.0,10065.0,20.0,1.0,2013.0,4.0,4052169.0,8052.0,16.0
1.0,4.0,10.0,5.0,1.0,2013.0,4.0,16.0,40.0,20.0,4.0,8052.0,16.0,100.0,50.0,10.0,20130.0,40.0,25.0,5.0,10065.0,20.0,1.0,2013.0,4.0,4052169.0,8052.0,16.0
1.0,5.0,1.0,6.0,1.0,2013.0,5.0,25.0,5.0,30.0,5.0,10065.0,25.0,1.0,6.0,1.0,2013.0,5.0,36.0,6.0,12078.0,30.0,1.0,2013.0,5.0,4052169.0,10065.0,25.0
1.0,5.0,2.0,6.0,1.0,2013.0,5.0,25.0,10.0,30.0,5.0,10065.0,25.0,4.0,12.0,2.0,4026.0,10.0,36.0,6.0,12078.0,30.0,1.0,2013.0,5.0,4052169.0,10065.0,25.0
1.0,5.0,3.0,6.0,1.0,2013.0,5.0,25.0,15.0,30.0,5.0,10065.0,25.0,9.0,18.0,3.0,6039.0,15.0,36.0,6.0,12078.0,30.0,1.0,2013.0,5.0,4052169.0,10065.0,25.0
1.0,5.0,4.0,6.0,1.0,2013.0,5.0,25.0,20.0,30.0,5.0,10065.0,25.0,16.0,24.0,4.0,8052.0,20.0,36.0,6.0,12078.0,30.0,1.0,2013.0,5.0,4052169.0,10065.0,25.0
1.0,5.0,6.0,6.0,1.0,2013.0,5.0,25.0,30.0,30.0,5.0,10065.0,25.0,36.0,36.0,6.0,12078.0,30.0,36.0,6.0,12078.0,30.0,1.0,2013.0,5.0,4052169.0,10065.0,25.0
1.0,5.0,7.0,6.0,1.0,2013.0,5.0,25.0,35.0,30.0,5.0,10065.0,25.0,49.0,42.0,7.0,14091.0,35.0,36.0,6.0,12078.0,30.0,1.0,2013.0,5.0,4052169.0,10065.0,25.0
1.0,5.0,8.0,6.0,1.0,2013.0,5.0,25.0,40.0,30.0,5.0,10065.0,25.0,64.0,48.0,8.0,16104.0,40.0,36.0,6.0,12078.0,30.0,1.0,2013.0,5.0,4052169.0,10065.0,25.0
1.0,5.0,9.0,6.0,1.0,2013.0,5.0,25.0,45.0,30.0,5.0,10065.0,25.0,81.0,54.0,9.0,18117.0,45.0,36.0,6.0,12078.0,30.0,1.0,2013.0,5.0,4052169.0,10065.0,25.0
1.0,5.0,10.0,6.0,1.0,2013.0,5.0,25.0,50.0,30.0,5.0,10065.0,25.0,100.0,60.0,10.0,20130.0,50.0,36.0,6.0,12078.0,30.0,1.0,2013.0,5.0,4052169.0,10065.0,25.0
1.0,6.0,1.0,7.0,1.0,2013.0,6.0,36.0,6.0,42.0,6.0,12078.0,36.0,1.0,7.0,1.0,2013.0,6.0,49.0,7.0,14091.0,42.0,1.0,2013.0,6.0,4052169.0,12078.0,36.0
1.0,6.0,2.0,7.0,1.0,2013.0,6.0,36.0,12.0,42.0,6.0,12078.0,36.0,4.0,14.0,2.0,4026.0,12.0,49.0,7.0,14091.0,42.0,1.0,2013.0,6.0,4052169.0,12078.0,36.0
1.0,6.0,3.0,7.0,1.0,2013.0,6.0,36.0,18.0,42.0,6.0,12078.0,36.0,9.0,21.0,3.0,6039.0,18.0,49.0,7.0,14091.0,42.0,1.0,2013.0,6.0,4052169.0,12078.0,36.0
1.0,6.0,4.0,7.0,1.0,2013.0,6.0,36.0,24.0,42.0,6.0,12078.0,36.0,16.0,28.0,4.0,8052.0,24.0,49.0,7.0,14091.0,42.0,1.0,2013.0,6.0,4052169.0,12078.0,36.0
1.0,6.0,6.0,7.0,1.0,2013.0,6.0,36.0,36.0,42.0,6.0,12078.0,36.0,36.0,42.0,6.0,12078.0,36.0,49.0,7.0,14091.0,42.0,1.0,2013.0,6.0,4052169.0,12078.0,36.0
1.0,6.0,7.0,7.0,1.0,2013.0,6.0,36.0,42.0,42.0,6.0,12078.0,36.0,49.0,49.0,7.0,14091.0,42.0,49.0,7.0,14091.0,42.0,1.0,2013.0,6.0,4052169.0,12078.0,36.0
1.0,6.0,8.0,7.0,1.0,2013.0,6.0,36.0,48.0,42.0,6.0,12078.0,36.0,64.0,56.0,8.0,16104.0,48.0,49.0,7.0,14091.0,42.0,1.0,2013.0,6.0,4052169.0,12078.0,36.0
1.0,6.0,9.0,7.0,1.0,2013.0,6.0,36.0,54.0,42.0,6.0,12078.0,36.0,81.0,63.0,9.0,18117.0,54.0,49.0,7.0,14091.0,42.0,1.0,2013.0,6.0,4052169.0,12078.0,36.0
1.0,6.0,10.0,7.0,1.0,2013.0,6.0,36.0,60.0,42.0,6.0,12078.0,36.0,100.0,70.0,10.0,20130.0,60.0,49.0,7.0,14091.0,42.0,1.0,2013.0,6.0,4052169.0,12078.0,36.0
1.0,7.0,1.0,1.0,1.0,2013.0,7.0,49.0,7.0,7.0,7.0,14091.0,49.0,1.0,1.0,1.0,2013.0,7.0,1.0,1.0,2013.0,7.0,1.0,2013.0,7.0,4052169.0,14091.0,49.0
1.0,7.0,2.0,1.0,1.0,2013.0,7.0,49.0,14.0,7.0,7.0,14091.0,49.0,4.0,2.0,2.0,4026.0,14.0,1.0,1.0,2013.0,7.0,1.0,2013.0,7.0,4052169.0,14091.0,49.0
1.0,7.0,3.0,1.0,1.0,2013.0,7.0,49.0,21.0,7.0,7.0,14091.0,49.0,9.0,3.0,3.0,6039.0,21.0,1.0,1.0,2013.0,7.0,1.0,2013.0,7.0,4052169.0,14091.0,49.0
1.0,7.0,4.0,1.0,1.0,2013.0,7.0,49.0,28.0,7.0,7.0,14091.0,49.0,16.0,4.0,4.0,8052.0,28.0,1.0,1.0,2013.0,7.0,1.0,2013.0,7.0,4052169.0,14091.0,49.0
1.0,7.0,6.0,1.0,1.0,2013.0,7.0,49.0,42.0,7.0,7.0,14091.0,49.0,36.0,6.0,6.0,12078.0,42.0,1.0,1.0,2013.0,7.0,1.0,2013.0,7.0,4052169.0,14091.0,49.0
1.0,7.0,7.0,1.0,1.0,2013.0,7.0,49.0,49.0,7.0,7.0,14091.0,49.0,49.0,7.0,7.0,14091.0,49.0,1.0,1.0,2013.0,7.0,1.0,2013.0,7.0,4052169.0,14091.0,49.0
1.0,7.0,8.0,1.0,1.0,2013.0,7.0,49.0,56.0,7.0,7.0,14091.0,49.0,64.0,8.0,8.0,16104.0,56.0,1.0,1.0,2013.0,7.0,1.0,2013.0,7.0,4052169.0,14091.0,49.0
1.0,7.0,9.0,1.0,1.0,2013.0,7.0,49.0,63.0,7.0,7.0,14091.0,49.0,81.0,9.0,9.0,18117.0,63.0,1.0,1.0,2013.0,7.0,1.0,2013.0,7.0,4052169.0,14091.0,49.0
1.0,7.0,10.0,1.0,1.0,2013.0,7.0,49.0,70.0,7.0,7.0,14091.0,49.0,100.0,10.0,10.0,20130.0,70.0,1.0,1.0,2013.0,7.0,1.0,2013.0,7.0,4052169.0,14091.0,49.0
1.0,8.0,1.0,2.0,1.0,2013.0,8.0,64.0,8.0,16.0,8.0,16104.0,64.0,1.0,2.0,1.0,2013.0,8.0,4.0,2.0,4026.0,16.0,1.0,2013.0,8.0,4052169.0,16104.0,64.0
1.0,8.0,2.0,2.0,1.0,2013.0,8.0,64.0,16.0,16.0,8.0,16104.0,64.0,4.0,4.0,2.0,4026.0,16.0,4.0,2.0,4026.0,16.0,1.0,2013.0,8.0,4052169.0,16104.0,64.0
1.0,8.0,3.0,2.0,1.0,2013.0,8.0,64.0,24.0,16.0,8.0,16104.0,64.0,9.0,6.0,3.0,6039.0,24.0,4.0,2.0,4026.0,16.0,1.0,2013.0,8.0,4052169.0,16104.0,64.0
1.0,8.0,4.0,2.0,1.0,2013.0,8.0,64.0,32.0,16.0,8.0,16104.0,64.0,16.0,8.0,4.0,8052.0,32.0,4.0,2.0,4026.0,16.0,1.0,2013.0,8.0,4052169.0,16104.0,64.0
