0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,date,day_of_week,brand
1.0,1250.0,1.0,3.0,9.0,2016.0,23.0,1562500.0,1250.0,3750.0,11250.0,2520000.0,28750.0,1.0,3.0,9.0,2016.0,23.0,9.0,27.0,6048.0,69.0,81.0,18144.0,207.0,4064256.0,46368.0,529.0,1250.0,3.0,1
1.0,1250.0,2.0,3.0,9.0,2016.0,23.0,1562500.0,2500.0,3750.0,11250.0,2520000.0,28750.0,4.0,6.0,18.0,4032.0,46.0,9.0,27.0,6048.0,69.0,81.0,18144.0,207.0,4064256.0,46368.0,529.0,1250.0,3.0,2
1.0,1250.0,3.0,3.0,9.0,2016.0,23.0,1562500.0,3750.0,3750.0,11250.0,2520000.0,28750.0,9.0,9.0,27.0,6048.0,69.0,9.0,27.0,6048.0,69.0,81.0,18144.0,207.0,4064256.0,46368.0,529.0,1250.0,3.0,3
1.0,1250.0,4.0,3.0,9.0,2016.0,23.0,1562500.0,5000.0,3750.0,11250.0,2520000.0,28750.0,16.0,12.0,36.0,8064.0,92.0,9.0,27.0,6048.0,69.0,81.0,18144.0,207.0,4064256.0,46368.0,529.0,1250.0,3.0,4
1.0,1250.0,5.0,3.0,9.0,2016.0,23.0,1562500.0,6250.0,3750.0,11250.0,2520000.0,28750.0,25.0,15.0,45.0,10080.0,115.0,9.0,27.0,6048.0,69.0,81.0,18144.0,207.0,4064256.0,46368.0,529.0,1250.0,3.0,5
1.0,1250.0,6.0,3.0,9.0,2016.0,23.0,1562500.0,7500.0,3750.0,11250.0,2520000.0,28750.0,36.0,18.0,54.0,12096.0,138.0,9.0,27.0,6048.0,69.0,81.0,18144.0,207.0,4064256.0,46368.0,529.0,1250.0,3.0,6
1.0,1250.0,7.0,3.0,9.0,2016.0,23.0,1562500.0,8750.0,3750.0,11250.0,2520000.0,28750.0,49.0,21.0,63.0,14112.0,161.0,9.0,27.0,6048.0,69.0,81.0,18144.0,207.0,4064256.0,46368.0,529.0,1250.0,3.0,7
1.0,1250.0,8.0,3.0,9.0,2016.0,23.0,1562500.0,10000.0,3750.0,11250.0,2520000.0,28750.0,64.0,24.0,72.0,16128.0,184.0,9.0,27.0,6048.0,69.0,81.0,18144.0,207.0,4064256.0,46368.0,529.0,1250.0,3.0,8
1.0,1250.0,9.0,3.0,9.0,2016.0,23.0,1562500.0,11250.0,3750.0,11250.0,2520000.0,28750.0,81.0,27.0,81.0,18144.0,207.0,9.0,27.0,6048.0,69.0,81.0,18144.0,207.0,4064256.0,46368.0,529.0,1250.0,3.0,9
1.0,1250.0,10.0,3.0,9.0,2016.0,23.0,1562500.0,12500.0,3750.0,11250.0,2520000.0,28750.0,100.0,30.0,90.0,20160.0,230.0,9.0,27.0,6048.0,69.0,81.0,18144.0,207.0,4064256.0,46368.0,529.0,1250.0,3.0,10
